id;codigo;producto;garantia;precio_publico;precio_gremio;stock;image_url;created_at;updated_at;created_by;precio_total;categoria;sub_categoria;Es_Nuevo?
7198a18e-ea1e-4174-88bb-e8da7b052bd7;HW-20251201-182744-1830025;CABLE PATCH CORD 0,6MTS CAT 5;15;6258.23;5215.27;1;http://190.183.223.6/gold/images/red/patch05.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;5998;Conectividad / Redes;Cables y adaptadores varios;NO
a0b8f733-0d13-451e-9464-5f66c2a4e16f;HW-20251201-182744-8490029;CABLE PATCH CORD 10MTS CAT 5E;15;18964.47;15803.82;1;http://190.183.223.6/gold/images/red/patch05.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;18175;Conectividad / Redes;Cables y adaptadores varios;NO
46693fba-3437-49cb-952b-a9018b4a56af;HW-20251201-182744-6330030;CABLE PATCH CORD 15MTS CAT 5E;15;24383.04;20319.08;1;http://190.183.223.6/gold/images/red/patch05.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;23367;Conectividad / Redes;Cables y adaptadores varios;NO
6d5cd503-a1f2-41ea-aab2-55d866c5c5c9;HW-20251201-182744-6590031;CABLE PATCH CORD 20MTS CAT 5E;15;32510.67;27092.25;1;http://190.183.223.6/gold/images/red/patch05.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;31157;Conectividad / Redes;Cables y adaptadores varios;NO
244ec7f5-3652-4f92-8fd5-74d6309eac72;HW-20251201-182744-0500026;CABLE PATCH CORD 2MTS CAT 5;15;6773.03;5644.21;1;http://190.183.223.6/gold/images/red/patch05.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;6491;Conectividad / Redes;Cables y adaptadores varios;NO
cd667edf-3294-4f1c-9252-1eb1c770bbe1;HW-20251201-182744-5980027;CABLE PATCH CORD 3MTS CAT 5;15;9753.16;8127.63;1;http://190.183.223.6/gold/images/red/patch05.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;9347;Conectividad / Redes;Cables y adaptadores varios;NO
d413327a-d752-4abe-964a-681f906054eb;HW-20251201-182744-1820028;CABLE PATCH CORD 5MTS CAT 5E;15;12733.29;10611.05;1;http://190.183.223.6/gold/images/red/patch05.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;12203;Conectividad / Redes;Cables y adaptadores varios;NO
903a2302-ce4f-4439-af7c-c6aec374c540;HW-20251201-182744-6380023;CABLE PLANO MAYADO ANDROID USB a MICRO USB 1metro;15;3117.87;2598.23;1;http://190.183.223.6/gold/images/cable/cablecellPlano.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;2988;Conectividad / Redes;Cables y adaptadores varios;NO
a74ae261-f101-4033-85b2-6c84208a11c2;HW-20251201-182744-6030032;CABLE POWER  220V;15;5458.26;4548.62;1;http://190.183.223.6/gold/images/cable/cable220.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;5231;Conectividad / Redes;Cables y adaptadores varios;NO
3be1450e-e16b-418e-9414-96f48148fa81;HW-20251201-182744-4980042;CABLE POWER  220V TREBOL NOTEBOOK;15;6928.55;5773.72;1;http://190.183.223.6/gold/images/cable/cable220trebol.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;6640;Conectividad / Redes;Cables y adaptadores varios;NO
6b3ee344-4257-4b5a-a2b8-51637e3d6be0;HW-20251201-182744-1070034;CABLE SATA  DATOS 50 cm;15;2252.04;1876.75;1;http://190.183.223.6/gold/images/cable/cablesatat.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;2159;Conectividad / Redes;Cables y adaptadores varios;NO
11faa08e-c714-477f-ac73-02485ce45a13;HW-20251201-182744-2000035;CABLE SATA  POWER  SIMPLE 16 cm;15;5271.42;4392.80;1;http://190.183.223.6/gold/images/cable/cablesataP.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;5052;Conectividad / Redes;Cables y adaptadores varios;NO
a0d83fa8-5df9-4477-9b2a-2830c577ebe2;HW-20251201-182744-6890047;CABLE USB 2.0  1.55MTS  PARA IMPRESORA A-B;15;5915.87;4929.94;1;http://190.183.223.6/gold/images/cable/cableusb.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;5670;Conectividad / Redes;Cables y adaptadores varios;NO
b09f7a0a-0a91-426e-87a8-309468491042;HW-20251201-182744-0370045;CABLE USB 3.0  3 MTS MACHO  A - A;15;15653.88;13044.93;1;https://http2.mlstatic.com/D_NQ_NP_2X_866832-MLA78534548692_082024-F.webp;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;15002;Conectividad / Redes;Cables y adaptadores varios;NO
94170516-02c8-4e64-9e83-dc737cfd1911;HW-20251201-182744-4650044;CABLE UTP CAT5E X MTS EXTERIOR 0000;15;635.04;529.20;1;http://190.183.223.6/gold/images/cable/cablered.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;609;Conectividad / Redes;Cables y adaptadores varios;NO
5cf719f5-e305-4c63-890f-a74c2387f0ae;HW-20251201-182744-7900043;CABLE UTP CAT5E X MTS INTERIOR  000;15;499.65;416.30;1;http://190.183.223.6/gold/images/cable/cablered.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;479;Conectividad / Redes;Cables y adaptadores varios;NO
cf7d987f-e454-4d7e-9f93-62b7c9ed51d0;HW-20251201-182744-6570046;CABLE VGA MACHO/MACHO 2 METROS;15;6662.04;5551.75;1;http://190.183.223.6/gold/images/cable/cablesVgaFMM.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;6385;Conectividad / Redes;Cables y adaptadores varios;NO
dfaeb683-82df-46fb-b880-514602c69466;HW-20251201-182744-9660048;CAMARA IP TAPO C100  Day Night sd Wifi;360;34065.05;28387.61;1;http://190.183.223.6/gold/images/TAPOC100.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;32646;Periféricos;Cámaras Web;NO
50a67d3e-bade-466a-a21f-6ca5521c4d27;HW-20251201-182744-7470049;CAMARA IP TAPO C200  Mov Remoto Day Night SD Wi;360;38861.80;32384.84;1;http://190.183.223.6/gold/images/camara/TAPOC200.jpg;2025-12-01 21:27:44.336587+00;2025-12-04 17:59:40.772986+00;;37243;Periféricos;Cámaras Web;NO
